,2MASS,id,tmag,MASS,RAD,ROT,Activity Flag,Binary Flag
507,15045835-2107003,220235630,11.8098001480103,0.252,0.27,,0,0
509,15313831-2654065,185856339,11.1868000030518,0.28,0.297,,0,0
510,15363450-3754223,172278724,10.0704002380371,0.253,0.271,,0,0
511,15365868-1408006,386973129,10.2489995956421,0.291,0.307,,0,0
512,15365868-1408006,471012749,10.1895999908447,0.291,0.307,,0,0
513,16505382-0450349,157684888,10.9786996841431,0.328,0.343,,0,0
514,17271403-2509357,88170819,10.8432998657227,0.282,0.298,,0,0
515,17301623-5138226,369021290,10.6421003341675,0.292,0.308,,0,0
516,18191700-7702501,292749585,11.4460000991821,0.258,0.276,,0,0
518,18494929-2350101,224752354,7.82651996612549,0.173,0.195,2.869,1,0
519,18520010-6046109,360955814,10.8605003356934,0.294,0.311,,0,0
520,18533991-3836442,201169126,10.0353002548218,0.289,0.306,,0,0
521,20035892-0807472,70808387,10.8436002731323,0.223,0.243,,0,0
522,20040671-3141469,439414619,11.6373996734619,0.204,0.225,,0,0
523,20454538-2927295,269997442,10.9006996154785,0.287,0.304,,0,0
524,21031390-5657479,394481268,10.3050003051758,0.235,0.254,,0,0
525,21032165-5022522,79103276,10.6197004318237,0.285,0.302,,0,0
526,21390081-2409280,441119035,10.7959995269775,0.202,0.223,,0,0
527,21452490-0554055,333372829,11.1479997634888,0.287,0.304,,0,0
528,21565513-0154100,471012295,11.8190002441406,0.144,0.167,,0,0
529,21565513-0154100,241159653,11.7768001556396,0.144,0.167,,0,0
530,22132883-1444538,437698837,10.9553003311157,0.312,0.327,,0,0
531,22134277-1741081,437698085,10.8439998626709,0.171,0.193,,0,0
532,22134277-1741081,471012766,10.8472003936768,0.171,0.193,,0,0
533,22230696-1736250,471012250,10.076000213623,0.172,0.194,,1,0
534,22230696-1736250,12652442,10.2753000259399,0.172,0.194,,1,0
535,22544645-0528264,224222042,11.2250003814697,0.304,0.32,,0,0
536,23071524-2307533,204325302,11.1391000747681,0.265,0.283,,0,0
538,23351050-0223214,313884966,11.2559995651245,0.116,0.141,,1,0
539,23463204-5043273,206361339,11.7370004653931,0.218,0.238,,0,0
540,23552591-0359000,248610583,11.4204998016357,0.282,0.299,,0,0
541,01474254-4836055,229145550,9.77999973297119,0.264,0.281,,1,0
542,04141730-0906544,67744992,11.271900177002,0.301,0.317,1.713,1,0
543,04305203-0849193,38041444,11.5412998199463,0.21,0.231,,0,0
544,06383532-1404579,333047111,11.6333999633789,0.251,0.269,,0,0
545,06393742-2101333,48523939,10.0579996109009,0.242,0.261,,0,0
546,07401183-4257406,123480394,10.5811004638672,0.139,0.163,,1,0
547,09504053-1348385,396795976,10.0659999847412,0.266,0.284,,0,0
548,09524176-1536137,396823875,10.9154996871948,0.271,0.288,,0,0
549,09552387-2715405,22147322,9.52099990844727,0.301,0.317,,0,0
550,10374532-2746388,187933810,10.3330001831055,0.201,0.222,,0,0
552,11412152-3624346,454012528,10.2166996002197,0.199,0.22,,0,0
553,12102834-1310234,347695698,10.9671001434326,0.201,0.221,,1,0
554,12203376-8225577,357466066,9.34123992919922,0.244,0.262,,0,0
556,12365214-0159007,175378094,11.0162000656128,0.258,0.276,,0,0
557,12372157-2052349,434508218,10.6656999588013,0.225,0.245,,0,0
558,12440075-1110302,156619134,11.2634000778198,0.188,0.21,,1,0
559,12591825-0010339,269919096,10.4033002853394,0.264,0.282,,0,0
560,13164546-1220203,335628483,11.1094999313354,0.261,0.278,,0,0
561,13215411-1424098,357492660,11.5389003753662,0.204,0.224,,1,0
562,13244647-0504194,114984037,11.0229997634888,0.347,0.361,,0,0
563,13244647-0504194,471015958,11.0229997634888,0.347,0.361,,0,0
564,13283294-3654233,242103812,11.3950004577637,0.276,0.293,,1,0
565,13384087-1132077,707346,11.4021997451782,0.195,0.216,,1,0
566,13442092-2618350,101824432,10.734299659729,0.273,0.291,,0,0
567,13502377-2137193,437328392,11.0418996810913,0.271,0.289,,0,0
568,13581621-1202591,335741002,11.5184001922607,0.18,0.202,,0,0
569,13581955-1316248,335740666,11.2053003311157,0.212,0.232,,1,0
571,14253413-1148515,6236083,10.9630002975464,0.25,0.268,,1,0
572,14415883-1649008,466516911,11.9896001815796,0.184,0.206,,1,0
573,14442809-0424078,101504887,11.2841997146606,0.279,0.296,,1,0
574,14541044-2041280,309644223,11.8780002593994,0.169,0.191,,1,0
575,15141690-0958386,79287361,11.3495998382568,0.201,0.222,,1,0
576,15154371-0725208,79310780,10.1230001449585,0.499,0.508,,1,0
577,15290145-0612461,37174533,11.3112001419067,0.228,0.247,,1,0
579,17281105-0143569,125311314,11.6273002624512,0.2,0.221,,1,0
581,18024935-0300024,105123934,11.0600996017456,0.252,0.27,,0,0
582,18430697-5436481,120395704,10.1499004364014,0.193,0.214,,0,0
583,18594068-6327218,464515919,10.4974002838135,0.275,0.292,,0,0
584,19103331-0734041,123598328,11.5051002502441,0.274,0.291,,0,0
585,19324633-0652178,100789896,11.49880027771,0.287,0.304,,0,0
588,20043077-2342018,74814667,10.2454996109009,0.216,0.236,,1,0
589,20091824-0113377,243800364,11.2404003143311,0.142,0.166,,1,0
590,20273733-5452592,219979737,10.3240003585815,0.247,0.266,,0,0
591,20284361-1128307,158569856,9.97350025177002,0.424,0.435,,1,0
